Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
102720,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,8.92,49,6389.0
102721,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,10.25,49,6389.0
102722,GO_FIRST,G8-118,Bangalore,Night,one,Morning,Mumbai,Economy,11.92,49,6389.0
102723,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Night,Mumbai,Economy,12.83,49,6389.0
102724,GO_FIRST,G8-118,Bangalore,Night,one,Morning,Mumbai,Economy,13.17,49,6389.0
102725,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.25,49,6389.0
102726,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.58,49,6389.0
102727,GO_FIRST,G8-118,Bangalore,Night,one,Afternoon,Mumbai,Economy,16.17,49,6389.0
102728,Air_India,AI-804,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,6.67,49,6578.0
102729,Air_India,AI-505,Bangalore,Morning,one,Evening,Mumbai,Economy,7.83,49,6578.0
102730,Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Economy,7.92,49,6578.0
102731,Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Economy,8.25,49,6578.0
102732,Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Economy,8.83,49,6578.0
102733,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Economy,10.83,49,6578.0
102734,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Economy,11.17,49,6578.0
102735,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Economy,11.75,49,6578.0
102736,Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,12.08,49,6578.0
102737,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,Economy,13.17,49,6578.0
102738,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.08,49,6578.0
102739,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.42,49,6578.0
102740,Air_India,AI-808,Bangalore,Night,one,Afternoon,Mumbai,Economy,15.83,49,6578.0
102741,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Mumbai,Economy,16.0,49,6578.0
102742,Air_India,AI-503,Bangalore,Evening,one,Morning,Mumbai,Economy,16.33,49,6578.0
102743,Air_India,AI-503,Bangalore,Evening,one,Afternoon,Mumbai,Economy,19.0,49,6578.0
102744,Air_India,AI-501,Bangalore,Afternoon,one,Morning,Mumbai,Economy,20.83,49,6578.0
102745,Air_India,AI-808,Bangalore,Night,one,Evening,Mumbai,Economy,21.25,49,6578.0
102746,Air_India,AI-501,Bangalore,Afternoon,one,Afternoon,Mumbai,Economy,23.5,49,6578.0
102747,Air_India,AI-505,Bangalore,Morning,one,Morning,Mumbai,Economy,23.75,49,6578.0
102748,GO_FIRST,G8-401,Bangalore,Morning,one,Night,Mumbai,Economy,10.42,49,6787.0
102749,GO_FIRST,G8-374,Bangalore,Early_Morning,one,Night,Mumbai,Economy,16.25,49,6787.0
