Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
52350,Air_India,AI-675,Mumbai,Early_Morning,one,Evening,Delhi,Economy,11.83,47,4927.0
52351,Air_India,AI-774,Mumbai,Night,one,Morning,Delhi,Economy,12.75,47,4927.0
52352,GO_FIRST,G8-2606,Mumbai,Evening,one,Early_Morning,Delhi,Economy,11.42,47,4979.0
52353,Air_India,AI-669,Mumbai,Morning,one,Night,Delhi,Economy,11.75,47,5014.0
52354,SpiceJet,SG-223,Mumbai,Evening,one,Morning,Delhi,Economy,19.25,47,5162.0
52355,Vistara,UK-873,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.17,47,5547.0
52356,Air_India,AI-601,Mumbai,Early_Morning,one,Evening,Delhi,Economy,11.75,47,5234.0
52357,Air_India,AI-655,Mumbai,Evening,one,Evening,Delhi,Economy,24.33,47,5234.0
52358,GO_FIRST,G8-306,Mumbai,Morning,one,Evening,Delhi,Economy,9.17,47,5286.0
52359,Air_India,AI-774,Mumbai,Night,one,Afternoon,Delhi,Economy,16.42,47,5348.0
52360,Air_India,AI-663,Mumbai,Afternoon,one,Late_Night,Delhi,Economy,14.33,47,5513.0
52361,Air_India,AI-685,Mumbai,Early_Morning,one,Late_Night,Delhi,Economy,22.67,47,5513.0
52362,Vistara,UK-852,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.17,47,5896.0
52363,GO_FIRST,G8-351,Mumbai,Morning,one,Evening,Delhi,Economy,7.92,47,5569.0
52364,GO_FIRST,G8-351,Mumbai,Morning,one,Night,Delhi,Economy,9.67,47,5569.0
52365,GO_FIRST,G8-351,Mumbai,Morning,one,Night,Delhi,Economy,10.75,47,5569.0
52366,GO_FIRST,G8-387,Mumbai,Afternoon,one,Night,Delhi,Economy,6.33,47,5618.0
52367,Air_India,AI-9657,Mumbai,Evening,one,Late_Night,Delhi,Economy,8.58,47,5641.0
52368,Vistara,UK-863,Mumbai,Morning,one,Afternoon,Delhi,Economy,5.08,47,6122.0
52369,Vistara,UK-853,Mumbai,Afternoon,one,Night,Delhi,Economy,5.58,47,6122.0
52370,Vistara,UK-851,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,5.67,47,6122.0
52371,Vistara,UK-849,Mumbai,Evening,one,Night,Delhi,Economy,6.25,47,6122.0
52372,Vistara,UK-853,Mumbai,Afternoon,one,Night,Delhi,Economy,6.42,47,6122.0
52373,Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.67,47,6122.0
52374,Vistara,UK-851,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,7.17,47,6122.0
52375,Vistara,UK-853,Mumbai,Afternoon,one,Night,Delhi,Economy,7.75,47,6122.0
52376,Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,8.17,47,6122.0
52377,Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,Economy,11.25,47,6122.0
52378,Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,Economy,12.5,47,6122.0
52379,Vistara,UK-857,Mumbai,Night,one,Morning,Delhi,Economy,12.67,47,6122.0
